,cat_name,num_images,num_videos,age,color,sex,good_in_a_home_with,adoption_fee,prefers_a_home_without,coat_length,pet_story_num_words,rescue_group,data_set,cat_id,thirty_days,Tabby,without_story,coat_length_miss,more_than_1_cat,video,num_pictures,pictures,breed_type,other_days
561,Rocky,0,0,Kitten,Tabby (Buff / Tan / Fawn),Male,,,,Medium,32.0,"All About Cats Rescue, Inc",fourteen_days,"Rocky All About Cats Rescue, Inc",False,True,False,Medium,False,False,0,False,Other,True
562,Bacall,0,0,Kitten,Black,Male,,,,Short,32.0,"All About Cats Rescue, Inc",fourteen_days,"Bacall All About Cats Rescue, Inc",False,False,False,Short,False,False,0,False,DSH,True
563,Rosie,0,0,Kitten,Black & White / Tuxedo,Female,,,,Medium,32.0,"All About Cats Rescue, Inc",fourteen_days,"Rosie All About Cats Rescue, Inc",False,False,False,Medium,False,False,0,False,Other,True
564,Rocky,0,0,Kitten,Tabby (Buff / Tan / Fawn),Male,,,,Medium,32.0,"All About Cats Rescue, Inc",fourteen_days,"Rocky All About Cats Rescue, Inc",False,True,False,Medium,False,False,0,False,Other,True
565,Reese,0,0,Kitten,Black,Female,,,,,32.0,"All About Cats Rescue, Inc",fourteen_days,"Reese All About Cats Rescue, Inc",False,False,False,unknown,False,False,0,False,Other,True
566,Regan,0,0,Kitten,Tabby (Buff / Tan / Fawn),Female,,,,,32.0,"All About Cats Rescue, Inc",fourteen_days,"Regan All About Cats Rescue, Inc",False,True,False,unknown,False,False,0,False,Other,True
567,Roxanne,2,0,Kitten,Dilute Calico,Female,,,,Medium,32.0,"All About Cats Rescue, Inc",fourteen_days,"Roxanne All About Cats Rescue, Inc",False,False,False,Medium,False,False,2,True,Other,True
568,Brent,6,0,Kitten,Black,Male,,,,,114.0,Pets4Luv Foundation,fourteen_days,Brent Pets4Luv Foundation,False,False,False,unknown,False,False,6,True,DSH,True
569,Lance,0,0,Adult,Orange & White,Male,Other cats.,,,,131.0,Pets4Luv Foundation,fourteen_days,Lance Pets4Luv Foundation,False,False,False,unknown,False,False,0,False,DSH,True
570,Gizmo,3,0,Kitten,Gray & White,Male,,,,Short,86.0,Bobbi & the Strays,fourteen_days,Gizmo Bobbi & the Strays,False,False,False,Short,False,False,3,True,DSH,True
571,STRIPER - A Bit of a Scaredy Cat!,0,0,Kitten,Tabby (Brown / Chocolate),Male,Other cats.,$100.00,,Short,200.0,Edison Municipal Animal Shelter,fourteen_days,STRIPER - A Bit of a Scaredy Cat! Edison Municipal Animal Shelter,False,True,False,Short,False,False,0,False,DSH,True
572,SPOT - Lovely Kitty,0,0,Kitten,Tabby (Tiger Striped),Male,Other cats.,$100.00,,Short,194.0,Edison Municipal Animal Shelter,fourteen_days,SPOT - Lovely Kitty Edison Municipal Animal Shelter,False,True,False,Short,False,False,0,False,DSH,True
573,CHEESE IT - Very Playful!,0,0,Kitten,Black & White / Tuxedo,Male,"Other cats, dogs, children.",$99.98,,Short,198.0,Edison Municipal Animal Shelter,fourteen_days,CHEESE IT - Very Playful! Edison Municipal Animal Shelter,False,False,False,Short,False,False,0,False,DSH,True
574,RUFFLES - Very Outgoing Girl!,0,0,Young,Black,Female,"Other cats, children.",$100.00,,Short,223.0,Edison Municipal Animal Shelter,fourteen_days,RUFFLES - Very Outgoing Girl! Edison Municipal Animal Shelter,False,False,False,Short,False,False,0,False,DSH,True
575,NELSON - Sweet Boy,4,0,Young,Black & White / Tuxedo,Male,"Other cats, children.",$100.00,,Short,241.0,Edison Municipal Animal Shelter,fourteen_days,NELSON - Sweet Boy Edison Municipal Animal Shelter,False,False,False,Short,False,False,4,True,DSH,True
576,SCRABBLE - Sweetie,0,0,Kitten,Tabby (Brown / Chocolate),Female,Other cats.,$99.98,,Short,350.0,Edison Municipal Animal Shelter,fourteen_days,SCRABBLE - Sweetie Edison Municipal Animal Shelter,False,True,False,Short,False,False,0,False,DSH,True
577,BLACK JACK - Adorable Girl!,3,0,Kitten,Black & White / Tuxedo,Female,Other cats.,$100.00,,Short,353.0,Edison Municipal Animal Shelter,fourteen_days,BLACK JACK - Adorable Girl! Edison Municipal Animal Shelter,False,False,False,Short,False,False,3,True,DSH,True
578,Double Bubble - Sweet and Shy Boy,2,0,Kitten,Black & White / Tuxedo,Male,Other cats.,,,Short,355.0,Edison Municipal Animal Shelter,fourteen_days,Double Bubble - Sweet and Shy Boy Edison Municipal Animal Shelter,False,False,False,Short,True,False,2,True,DSH,True
579,JESSUP - Very Loving Boy,2,0,Kitten,Black & White / Tuxedo,Male,"Other cats, dogs, children.",$99.97,,Short,355.0,Edison Municipal Animal Shelter,fourteen_days,JESSUP - Very Loving Boy Edison Municipal Animal Shelter,False,False,False,Short,False,False,2,True,DSH,True
580,PIPER - Shy and Sweet!,0,0,Adult,Black,Female,,,,Short,235.0,Edison Municipal Animal Shelter,fourteen_days,PIPER - Shy and Sweet! Edison Municipal Animal Shelter,False,False,False,Short,True,False,0,False,DSH,True
581,PARSNIP - Quiet Boy!,0,0,Adult,Tabby (Gray / Blue / Silver),Male,Other cats.,,"Dogs, children.",Short,204.0,Edison Municipal Animal Shelter,fourteen_days,PARSNIP - Quiet Boy! Edison Municipal Animal Shelter,False,True,False,Short,False,False,0,False,DSH,True
582,Andy,0,0,Kitten,Tabby (Brown / Chocolate),Male,,,,Short,80.0,Kat Connection,fourteen_days,Andy Kat Connection,False,True,False,Short,False,False,0,False,DSH,True
583,Ashley,0,0,Kitten,Gray / Blue / Silver,Female,,,,Short,75.0,Kat Connection,fourteen_days,Ashley Kat Connection,False,False,False,Short,False,False,0,False,DSH,True
584,Dillon,0,0,Kitten,Orange & White,Male,,,,Short,78.0,Kat Connection,fourteen_days,Dillon Kat Connection,False,False,False,Short,False,False,0,False,DSH,True
585,Jasper,0,0,Kitten,Tabby (Brown / Chocolate),Male,,,,Short,76.0,Kat Connection,fourteen_days,Jasper Kat Connection,False,True,False,Short,False,False,0,False,DSH,True
586,Noah,0,0,Kitten,Tabby (Brown / Chocolate),Male,,,,Short,76.0,Kat Connection,fourteen_days,Noah Kat Connection,False,True,False,Short,False,False,0,False,DSH,True
587,Pink,4,0,Adult,Gray / Blue / Silver,Female,"Other cats, children.",,,Short,270.0,Big Hands Little Paws,thirty_days,Pink Big Hands Little Paws,True,False,False,Short,False,False,4,True,DSH,False
588,Panther,5,0,Kitten,Black,Female,"Other cats, children.",,,Short,287.0,Big Hands Little Paws,thirty_days,Panther Big Hands Little Paws,True,False,False,Short,False,False,5,True,DSH,False
589,Moo,4,0,Adult,Black & White / Tuxedo,Male,,,,,239.0,Big Hands Little Paws,thirty_days,Moo Big Hands Little Paws,True,False,False,unknown,False,False,4,True,DSH,False
590,Bread,6,0,Young,Calico,Female,"Other cats, dogs, children.",,,Short,229.0,Big Hands Little Paws,thirty_days,Bread Big Hands Little Paws,True,False,False,Short,False,False,6,True,DSH,False
591,Ginger,6,0,Young,Orange & White,Female,"Other cats, dogs, children.",,,Short,227.0,Big Hands Little Paws,thirty_days,Ginger Big Hands Little Paws,True,False,False,Short,False,False,6,True,DSH,False
592,Beanie,5,0,Senior,Gray / Blue / Silver,Male,,,Other cats.,Short,141.0,City Critters Inc.,thirty_days,Beanie City Critters Inc.,True,False,False,Short,False,False,5,True,DSH,False
593,RayJay,5,0,Adult,Black & White / Tuxedo,Male,,,Other cats.,Short,77.0,City Critters Inc.,thirty_days,RayJay City Critters Inc.,True,False,False,Short,False,False,5,True,DSH,False
594,Gemma,5,0,Senior,Black,Female,,,,,89.0,City Critters Inc.,thirty_days,Gemma City Critters Inc.,True,False,False,unknown,False,False,5,True,DSH,False
595,Luther,5,1,Adult,Orange & White,Male,Dogs.,,,Short,167.0,Ready For Rescue,thirty_days,Luther Ready For Rescue,True,False,False,Short,False,True,5,True,DSH,False
596,Manjani,5,0,Young,Tabby (Gray / Blue / Silver),Male,Children.,,,Short,123.0,Ready For Rescue,thirty_days,Manjani Ready For Rescue,True,True,False,Short,False,False,5,True,DSH,False
597,Sherbert,6,0,Young,Tabby (Orange / Red),Male,,,,Short,178.0,Ready For Rescue,thirty_days,Sherbert Ready For Rescue,True,True,False,Short,False,False,6,True,DSH,False
598,Lily,5,1,Adult,Tabby (Brown / Chocolate),Female,,,Children.,Short,164.0,Ready For Rescue,thirty_days,Lily Ready For Rescue,True,True,False,Short,False,True,5,True,DSH,False
599,Cindy,6,0,Young,Lilac Point,Female,,,Children.,Short,115.0,Ready For Rescue,thirty_days,Cindy Ready For Rescue,True,False,False,Short,False,False,6,True,DSH,False
600,Zoomie,5,1,Senior,Orange / Red,Male,,,Children.,Short,176.0,Ready For Rescue,thirty_days,Zoomie Ready For Rescue,True,False,False,Short,False,True,5,True,DSH,False
601,Timmy,6,0,Senior,Black,Male,Dogs.,,"Other cats, children.",Short,137.0,Ready For Rescue,thirty_days,Timmy Ready For Rescue,True,False,False,Short,False,False,6,True,DSH,False
602,Tempeh & Tofu,2,0,Kitten,White,Female,,,,Short,156.0,RescueNYC,thirty_days,Tempeh & Tofu RescueNYC,True,False,False,Short,True,False,2,True,DSH,False
603,Cinnamon,0,0,Adult,Calico,Female,,,,Short,89.0,RescueNYC,thirty_days,Cinnamon RescueNYC,True,False,False,Short,False,False,0,False,DSH,False
604,Tofu & Tempeh,3,0,Kitten,White,Female,,,,Short,156.0,RescueNYC,thirty_days,Tofu & Tempeh RescueNYC,True,False,False,Short,True,False,3,True,DSH,False
605,Tuxie,2,0,Adult,Black & White / Tuxedo,Male,,,"Other cats, dogs.",Short,109.0,RescueNYC,thirty_days,Tuxie RescueNYC,True,False,False,Short,False,False,2,True,DSH,False
606,Dumpling,2,0,Adult,Gray / Blue / Silver,Female,Dogs.,,Children.,,257.0,Social Tees Animal Rescue Foundation,thirty_days,Dumpling Social Tees Animal Rescue Foundation,True,False,False,unknown,False,False,2,True,DSH,False
607,John,2,0,Adult,Orange & White,Male,,,,,275.0,Social Tees Animal Rescue Foundation,thirty_days,John Social Tees Animal Rescue Foundation,True,False,False,unknown,False,False,2,True,DSH,False
608,Jade,4,1,Kitten,Black,Female,Other cats.,$150.00,,Short,97.0,Fur Real,thirty_days,Jade Fur Real,True,False,False,Short,False,True,4,True,DSH,False
609,Oliver,5,1,Kitten,Gray / Blue / Silver,Male,"Other cats, children.",$150.00,,Short,101.0,Fur Real,thirty_days,Oliver Fur Real,True,False,False,Short,False,True,5,True,DSH,False
610,Yaqui,4,1,Kitten,Gray & White,Male,"Other cats, children.",$150.00,,Short,117.0,Fur Real,thirty_days,Yaqui Fur Real,True,False,False,Short,False,True,4,True,DSH,False
611,Olivia,5,1,Kitten,Gray / Blue / Silver,Female,"Other cats, children.",$150.00,,Short,128.0,Fur Real,thirty_days,Olivia Fur Real,True,False,False,Short,False,True,5,True,DSH,False
612,Ruby,5,1,Adult,Calico,Female,Children.,$200.00,"Other cats, dogs.",Short,368.0,Fur Real,thirty_days,Ruby Fur Real,True,False,False,Short,False,True,5,True,DSH,False
613,Koala Bear,6,0,Adult,Black,Male,"Other cats, children.",$150.00,,Short,237.0,Fur Real,thirty_days,Koala Bear Fur Real,True,False,False,Short,False,False,6,True,DSH,False
614,Momma,6,0,Young,Tabby (Brown / Chocolate),Female,,$150.00,"Other cats, dogs.",Short,272.0,Fur Real,thirty_days,Momma Fur Real,True,True,False,Short,False,False,6,True,DSH,False
615,Tito,6,0,Young,Gray / Blue / Silver,Male,Other cats.,$150.00,"Dogs, children.",Short,161.0,Fur Real,thirty_days,Tito Fur Real,True,False,False,Short,False,False,6,True,DSH,False
616,Felix,5,1,Young,Black & White / Tuxedo,Male,,$150.00,,Short,385.0,Fur Real,thirty_days,Felix Fur Real,True,False,False,Short,False,True,5,True,DSH,False
617,Papa Veselka,3,0,Young,nan,Male,"Dogs, children.",,,,172.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Papa Veselka Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,3,True,Other,False
618,Judy Garland,3,0,Young,Black & White / Tuxedo,Female,,,"Other cats, dogs, children.",,89.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Judy Garland Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,3,True,DSH,False
619,Stroopwafel,3,0,Young,nan,Female,"Other cats, dogs, children.",,,,574.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Stroopwafel Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,3,True,DSH,False
620,Morse,3,0,Adult,nan,Male,,,"Other cats, children.",,297.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Morse Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,3,True,DSH,False
621,Jenny Diver,3,0,Young,nan,Female,Other cats.,,,,111.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Jenny Diver Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,3,True,DSH,False
622,Cannoli & Spumoni,3,0,Young,nan,Male,"Other cats, dogs, children.",,,,104.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Cannoli & Spumoni Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,True,False,3,True,DSH,False
623,Prince Harry,3,0,Young,Orange & White,Male,Children.,,,,257.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Prince Harry Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,3,True,DSH,False
624,Toby Wan Kenobi & Garth Vader,3,0,Young,nan,Male,"Other cats, dogs.",,,,155.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Toby Wan Kenobi & Garth Vader Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,True,False,3,True,DSH,False
625,Yin,3,0,Young,Black,Male,"Other cats, dogs, children.",,,,127.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Yin Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,3,True,DSH,False
626,Benny & C-Note,3,0,Young,nan,Male,"Other cats, dogs, children.",,,,360.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Benny & C-Note Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,True,False,3,True,DSH,False
627,Cady & Gretchen,3,0,Young,Black & White / Tuxedo,Female,"Other cats, dogs, children.",,,,478.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Cady & Gretchen Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,True,False,3,True,DSH,False
628,Pink & Poo,3,0,Young,Black,Female,"Other cats, dogs, children.",,,,100.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Pink & Poo Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,True,False,3,True,DSH,False
629,Local Honey,3,0,Young,Black & White / Tuxedo,Female,"Other cats, dogs, children.",,,,148.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Local Honey Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,3,True,DSH,False
630,Pioneer Helen,3,0,Senior,nan,Female,Other cats.,,,,171.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Pioneer Helen Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,3,True,DSH,False
631,Royalti,3,0,Young,nan,Female,Other cats.,,,,220.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Royalti Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,3,True,DSH,False
632,Cutie,3,0,Adult,nan,Female,"Other cats, children.",,,,199.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Cutie Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,3,True,DSH,False
633,Kalu,3,0,Adult,Black,Male,Other cats.,,,,180.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Kalu Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,3,True,DSH,False
634,Princess,0,0,Adult,nan,Female,Other cats.,,,,165.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Princess Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,0,False,DSH,False
635,Paddington & Rebecca Cunningham,3,0,Young,nan,Female,"Other cats, dogs, children.",,,,372.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Paddington & Rebecca Cunningham Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,True,False,3,True,DSH,False
636,Bowie,3,0,Young,Black,Male,"Other cats, dogs, children.",,,,199.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Bowie Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,3,True,DSH,False
637,Leon Kennedy & Chris Redfield,3,0,Young,Black & White / Tuxedo,Male,"Other cats, dogs, children.",,,,198.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Leon Kennedy & Chris Redfield Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,True,False,3,True,DSH,False
638,Vex & Irk,3,0,Young,nan,Male,"Other cats, dogs, children.",,,,169.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Vex & Irk Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,True,False,3,True,DSH,False
639,Gracie & Olive,3,0,Young,Orange / Red,Female,"Other cats, dogs, children.",,,,212.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Gracie & Olive Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,True,False,3,True,DSH,False
640,Bedlam & Lassie,3,0,Young,nan,Female,"Other cats, dogs, children.",,,,222.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Bedlam & Lassie Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,True,False,3,True,DSH,False
641,Baguette,3,0,Young,nan,Male,Other cats.,,,,174.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Baguette Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,3,True,DSH,False
642,Son of Quester,2,0,Young,Black,Male,Children.,,Other cats.,,119.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Son of Quester Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,2,True,DSH,False
643,Phoebe,3,0,Adult,nan,Female,Other cats.,,,,139.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Phoebe Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,3,True,DSH,False
644,Rocky,3,0,Adult,Black & White / Tuxedo,Male,Other cats.,,,,204.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Rocky Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,3,True,DSH,False
645,Luke,3,0,Adult,Black & White / Tuxedo,Male,,,"Other cats, dogs, children.",,391.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Luke Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,3,True,DSH,False
646,Chip & Dip,3,0,Young,nan,Female,"Other cats, dogs, children.",,,,157.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Chip & Dip Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,True,False,3,True,DSH,False
647,King Kong,3,0,Young,Orange & White,Male,,,"Other cats, dogs, children.",,158.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,King Kong Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,3,True,DSH,False
648,Elvis & Ember,3,0,Young,Black & White / Tuxedo,Male,"Other cats, dogs, children.",,,,247.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Elvis & Ember Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,True,False,3,True,DSH,False
649,Miso & Nori,3,0,Young,nan,Female,"Other cats, dogs, children.",,,,262.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Miso & Nori Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,True,False,3,True,DSH,False
650,Hotcake,3,0,Young,nan,Female,Other cats.,,,,106.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Hotcake Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,3,True,DSH,False
651,Grandma,0,0,Senior,nan,Female,"Other cats, dogs, children.",,,,127.0,Brooklyn Bridge Animal Welfare Coalition,thirty_days,Grandma Brooklyn Bridge Animal Welfare Coalition,True,False,False,unknown,False,False,0,False,DSH,False
